CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Pogiri B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1426000,18.0506000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Ramachandrapuram Agraharam B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1522000,18.0675000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Yenduva B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7817,83.4268
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Keesara B.O,532455,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.29483,83.89366
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Ponnuturu B.O,532457,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.83879,83.84852
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Bairisingupuram S.O,532187,PO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2877770,83.9003333
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Batuva B.O,535125,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.6132000,18.3299000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Gobburu B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1420000,18.0574000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Nandabalaga B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1423000,18.0576000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Chettupodilam B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1521000,18.0575000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Gedda Kancharam B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1421000,18.0574000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Niddam B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1221000,18.0578000
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Pusam B.O,532458,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2924500,83.8936960
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Santhakaviti B.O,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4554160,83.7517770
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Vavilavalasa B.O,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4554160,83.7517770
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Nayaralavalasa B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263111,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Parampeta B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Mamidipalli B.O,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9009720,84.5533055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Potrakonda B.O,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9009720,84.5533055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Nadumuru B.O,532263,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8831111,84.5829444
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Bendi B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kothagraharam B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Tekkalipatnam B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
